epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.567,1.05977,1.66457,1.16893,0.01984,0.38788,0.01791,0.00605,2.72684,3.35802,2.33938,0.00062,0.00062,0.00062
2,494.933,1.01825,1.13675,1.14777,0.05541,0.03636,0.01259,0.00379,2.93022,3.53769,2.67525,0.00119763,0.00119763,0.00119763
3,751.093,1.05342,1.08284,1.15694,0.09783,0.06061,0.03237,0.00862,3.14158,2.90255,2.35187,0.0017119,0.0017119,0.0017119
4,991.433,1.05089,1.06926,1.17618,0.05159,0.03333,0.01433,0.00444,2.82019,3.65708,2.49527,0.001703,0.001703,0.001703
5,1229.6,1.00911,1.0093,1.14948,0.1166,0.0616,0.0244,0.00875,3.00891,3.60965,2.73975,0.001604,0.001604,0.001604
6,1471.4,0.98165,0.95631,1.13604,0.11701,0.16806,0.06919,0.02203,2.7854,2.96582,2.45234,0.001505,0.001505,0.001505
7,1716.28,0.95241,0.911,1.12747,0.21365,0.18788,0.11038,0.0366,2.74306,2.84639,2.27225,0.001406,0.001406,0.001406
8,1952.98,0.88389,0.84952,1.10035,0.14073,0.14091,0.06138,0.01934,2.68151,3.00592,2.33581,0.001307,0.001307,0.001307
9,2195.55,0.88868,0.81988,1.07496,0.14772,0.2,0.09241,0.03304,2.69459,2.9002,2.30479,0.001208,0.001208,0.001208
10,2439.94,0.85931,0.78265,1.0768,0.18051,0.18485,0.12125,0.04148,2.48873,2.58081,2.20289,0.001109,0.001109,0.001109
11,2682.42,0.7549,0.7574,1.01723,0.14545,0.07879,0.04425,0.01723,2.56448,3.58652,2.40556,0.00101,0.00101,0.00101
12,2927.26,0.73229,0.72428,1.01174,0.22628,0.22687,0.13984,0.04847,2.6162,2.40132,2.1917,0.000911,0.000911,0.000911
13,3166.99,0.70136,0.67186,0.99272,0.2328,0.18636,0.13557,0.05198,2.5021,2.52719,2.18983,0.000812,0.000812,0.000812
14,3413.47,0.69172,0.66276,0.98739,0.25411,0.19394,0.15703,0.06102,2.47102,2.43846,2.16941,0.000713,0.000713,0.000713
15,3658.69,0.65686,0.62483,0.96731,0.23296,0.23929,0.16206,0.06188,2.44181,2.50289,2.16689,0.000614,0.000614,0.000614
16,3899.36,0.63902,0.60118,0.9613,0.24276,0.20984,0.16728,0.06577,2.40844,2.37736,2.15273,0.000515,0.000515,0.000515
17,4132.09,0.62019,0.59104,0.96157,0.25259,0.21818,0.17981,0.07082,2.35813,2.43706,2.09471,0.000416,0.000416,0.000416
18,4287.44,0.59802,0.57454,0.95722,0.26009,0.23182,0.18534,0.07032,2.3946,2.33556,2.07473,0.000317,0.000317,0.000317
19,4439.22,0.5632,0.53897,0.92746,0.2429,0.19493,0.16148,0.06224,2.40561,2.41437,2.09761,0.000218,0.000218,0.000218
20,4588.22,0.55809,0.53461,0.9406,0.26715,0.1803,0.16899,0.06647,2.37834,2.3945,2.09089,0.000119,0.000119,0.000119
